product_key,name,slug,category,subcategory,brand,gender,short_description,description,base_price_bdt,compare_at_price_bdt,featured,active,tags,image_1,image_2,variant_sku,color,size,variant_price_bdt,stock_qty,low_stock_threshold,weight_grams
DEMO-MEN-TSHIRT-001,Premium Cotton Crew Neck T-Shirt,demo-premium-cotton-crew-neck-t-shirt,Men,T-Shirts,Bandhan,Men,Breathable premium cotton with a clean everyday fit.,"A soft crew-neck t-shirt made for daily comfort, easy layering, and year-round wear.",790,990,TRUE,TRUE,Demo|Men|Cotton|T-Shirt,/demo-products/men-tshirt-front.svg,/demo-products/men-tshirt-back.svg,DEMO-MTS-BLK-M,Black,M,790,14,3,250
DEMO-MEN-TSHIRT-001,Premium Cotton Crew Neck T-Shirt,demo-premium-cotton-crew-neck-t-shirt,Men,T-Shirts,Bandhan,Men,Breathable premium cotton with a clean everyday fit.,"A soft crew-neck t-shirt made for daily comfort, easy layering, and year-round wear.",790,990,TRUE,TRUE,Demo|Men|Cotton|T-Shirt,/demo-products/men-tshirt-front.svg,/demo-products/men-tshirt-back.svg,DEMO-MTS-NVY-L,Navy,L,810,8,3,250
DEMO-MEN-TSHIRT-001,Premium Cotton Crew Neck T-Shirt,demo-premium-cotton-crew-neck-t-shirt,Men,T-Shirts,Bandhan,Men,Breathable premium cotton with a clean everyday fit.,"A soft crew-neck t-shirt made for daily comfort, easy layering, and year-round wear.",790,990,TRUE,TRUE,Demo|Men|Cotton|T-Shirt,/demo-products/men-tshirt-front.svg,/demo-products/men-tshirt-back.svg,DEMO-MTS-BLK-XL,Black,XL,820,0,3,250
DEMO-MEN-SHIRT-001,Oxford Full Sleeve Shirt,demo-oxford-full-sleeve-shirt,Men,Shirts,Bandhan,Men,Crisp Oxford weave with a polished full-sleeve silhouette.,"A versatile button-down shirt tailored for office days, dinners, and smart casual dressing.",1490,1790,FALSE,TRUE,Demo|Men|Oxford|Shirt,/demo-products/men-shirt-front.svg,/demo-products/men-shirt-detail.svg,DEMO-OFS-WHT-M,White,M,1490,10,3,340
DEMO-MEN-SHIRT-001,Oxford Full Sleeve Shirt,demo-oxford-full-sleeve-shirt,Men,Shirts,Bandhan,Men,Crisp Oxford weave with a polished full-sleeve silhouette.,"A versatile button-down shirt tailored for office days, dinners, and smart casual dressing.",1490,1790,FALSE,TRUE,Demo|Men|Oxford|Shirt,/demo-products/men-shirt-front.svg,/demo-products/men-shirt-detail.svg,DEMO-OFS-SKY-L,Sky Blue,L,1520,2,3,340
DEMO-MEN-SHIRT-001,Oxford Full Sleeve Shirt,demo-oxford-full-sleeve-shirt,Men,Shirts,Bandhan,Men,Crisp Oxford weave with a polished full-sleeve silhouette.,"A versatile button-down shirt tailored for office days, dinners, and smart casual dressing.",1490,1790,FALSE,TRUE,Demo|Men|Oxford|Shirt,/demo-products/men-shirt-front.svg,/demo-products/men-shirt-detail.svg,DEMO-OFS-WHT-XL,White,XL,1540,6,3,340
DEMO-MEN-PANJABI-001,Festive Embroidered Panjabi,demo-festive-embroidered-panjabi,Men,Panjabi,Bandhan,Men,Refined embroidery and festive colour in a comfortable cut.,"An occasion-ready Panjabi with detailed embroidery, a graceful collar, and an easy celebratory fit.",2290,2690,TRUE,TRUE,Demo|Men|Festive|Panjabi|Embroidered,/demo-products/men-panjabi-front.svg,/demo-products/men-panjabi-detail.svg,DEMO-PNJ-MRN-M,Maroon,M,2290,7,3,480
DEMO-MEN-PANJABI-001,Festive Embroidered Panjabi,demo-festive-embroidered-panjabi,Men,Panjabi,Bandhan,Men,Refined embroidery and festive colour in a comfortable cut.,"An occasion-ready Panjabi with detailed embroidery, a graceful collar, and an easy celebratory fit.",2290,2690,TRUE,TRUE,Demo|Men|Festive|Panjabi|Embroidered,/demo-products/men-panjabi-front.svg,/demo-products/men-panjabi-detail.svg,DEMO-PNJ-OLV-L,Olive,L,2340,6,3,480
DEMO-MEN-PANJABI-001,Festive Embroidered Panjabi,demo-festive-embroidered-panjabi,Men,Panjabi,Bandhan,Men,Refined embroidery and festive colour in a comfortable cut.,"An occasion-ready Panjabi with detailed embroidery, a graceful collar, and an easy celebratory fit.",2290,2690,TRUE,TRUE,Demo|Men|Festive|Panjabi|Embroidered,/demo-products/men-panjabi-front.svg,/demo-products/men-panjabi-detail.svg,DEMO-PNJ-MRN-XL,Maroon,XL,2390,5,3,480
DEMO-WOMEN-SAREE-001,Soft Silk Festive Saree,demo-soft-silk-festive-saree,Women,Sarees,Bandhan,Women,Lustrous soft silk drape with an elegant festive border.,"A fluid soft-silk saree designed for celebrations, with a rich border and graceful fall.",3290,3890,TRUE,TRUE,Demo|Women|Silk|Saree|Festive,/demo-products/women-saree-front.svg,/demo-products/women-saree-detail.svg,DEMO-SAR-MGT-FS,Magenta,Free Size,3290,5,2,720
DEMO-WOMEN-SAREE-001,Soft Silk Festive Saree,demo-soft-silk-festive-saree,Women,Sarees,Bandhan,Women,Lustrous soft silk drape with an elegant festive border.,"A fluid soft-silk saree designed for celebrations, with a rich border and graceful fall.",3290,3890,TRUE,TRUE,Demo|Women|Silk|Saree|Festive,/demo-products/women-saree-front.svg,/demo-products/women-saree-detail.svg,DEMO-SAR-TEAL-FS,Teal,Free Size,3390,4,2,720
DEMO-WOMEN-KURTI-001,Printed Cotton Kurti,demo-printed-cotton-kurti,Women,Kurtis,Bandhan,Women,Light cotton comfort with a lively all-over print.,A breathable printed kurti with a relaxed line that works beautifully from errands to casual gatherings.,1190,1490,FALSE,TRUE,Demo|Women|Cotton|Kurti|Printed,/demo-products/women-kurti-front.svg,/demo-products/women-kurti-detail.svg,DEMO-KRT-MST-S,Mustard,S,1190,9,3,310
DEMO-WOMEN-KURTI-001,Printed Cotton Kurti,demo-printed-cotton-kurti,Women,Kurtis,Bandhan,Women,Light cotton comfort with a lively all-over print.,A breathable printed kurti with a relaxed line that works beautifully from errands to casual gatherings.,1190,1490,FALSE,TRUE,Demo|Women|Cotton|Kurti|Printed,/demo-products/women-kurti-front.svg,/demo-products/women-kurti-detail.svg,DEMO-KRT-BLU-M,Blue,M,1220,1,3,310
DEMO-WOMEN-KURTI-001,Printed Cotton Kurti,demo-printed-cotton-kurti,Women,Kurtis,Bandhan,Women,Light cotton comfort with a lively all-over print.,A breathable printed kurti with a relaxed line that works beautifully from errands to casual gatherings.,1190,1490,FALSE,TRUE,Demo|Women|Cotton|Kurti|Printed,/demo-products/women-kurti-front.svg,/demo-products/women-kurti-detail.svg,DEMO-KRT-MST-L,Mustard,L,1240,7,3,310
DEMO-WOMEN-HANDBAG-001,Structured Everyday Handbag,demo-structured-everyday-handbag,Women,Accessories,Bandhan,Women,A structured carryall with practical everyday organisation.,"A polished handbag with a sturdy silhouette, comfortable handles, and room for daily essentials.",1690,1990,FALSE,TRUE,Demo|Women|Accessories|Handbag,/demo-products/women-handbag-front.svg,/demo-products/women-handbag-detail.svg,DEMO-HBG-BLK-STD,Black,Standard,1690,8,2,650
DEMO-WOMEN-HANDBAG-001,Structured Everyday Handbag,demo-structured-everyday-handbag,Women,Accessories,Bandhan,Women,A structured carryall with practical everyday organisation.,"A polished handbag with a sturdy silhouette, comfortable handles, and room for daily essentials.",1690,1990,FALSE,TRUE,Demo|Women|Accessories|Handbag,/demo-products/women-handbag-front.svg,/demo-products/women-handbag-detail.svg,DEMO-HBG-TAN-STD,Tan,Standard,1740,6,2,650
DEMO-KIDS-DRESS-001,Girls Party Dress,demo-girls-party-dress,Kids,,Bandhan,Girls,A twirl-ready party dress with playful colour and soft lining.,"A comfortable celebration dress with a full skirt, delicate detail, and child-friendly finish.",1390,1690,TRUE,TRUE,Demo|Kids|Girls|Party Dress,/demo-products/kids-girls-dress-front.svg,/demo-products/kids-girls-dress-detail.svg,DEMO-GPD-PNK-4Y,Pink,4Y,1390,7,2,360
DEMO-KIDS-DRESS-001,Girls Party Dress,demo-girls-party-dress,Kids,,Bandhan,Girls,A twirl-ready party dress with playful colour and soft lining.,"A comfortable celebration dress with a full skirt, delicate detail, and child-friendly finish.",1390,1690,TRUE,TRUE,Demo|Kids|Girls|Party Dress,/demo-products/kids-girls-dress-front.svg,/demo-products/kids-girls-dress-detail.svg,DEMO-GPD-PUR-6Y,Purple,6Y,1420,4,2,360
DEMO-KIDS-DRESS-001,Girls Party Dress,demo-girls-party-dress,Kids,,Bandhan,Girls,A twirl-ready party dress with playful colour and soft lining.,"A comfortable celebration dress with a full skirt, delicate detail, and child-friendly finish.",1390,1690,TRUE,TRUE,Demo|Kids|Girls|Party Dress,/demo-products/kids-girls-dress-front.svg,/demo-products/kids-girls-dress-detail.svg,DEMO-GPD-PNK-8Y,Pink,8Y,1440,0,2,360
DEMO-ACCESSORY-BELT-001,Classic Faux Leather Belt,demo-classic-faux-leather-belt,Accessories,,Bandhan,Unisex,A clean everyday belt with a classic metal buckle.,"A dependable faux-leather belt with an understated finish for denim, chinos, and formal trousers.",650,790,FALSE,TRUE,Demo|Accessories|Belt|Unisex,/demo-products/belt-front.svg,/demo-products/belt-detail.svg,DEMO-BLT-BLK-M,Black,M,650,10,3,180
DEMO-ACCESSORY-BELT-001,Classic Faux Leather Belt,demo-classic-faux-leather-belt,Accessories,,Bandhan,Unisex,A clean everyday belt with a classic metal buckle.,"A dependable faux-leather belt with an understated finish for denim, chinos, and formal trousers.",650,790,FALSE,TRUE,Demo|Accessories|Belt|Unisex,/demo-products/belt-front.svg,/demo-products/belt-detail.svg,DEMO-BLT-BRN-L,Brown,L,670,2,3,180
DEMO-ACCESSORY-BELT-001,Classic Faux Leather Belt,demo-classic-faux-leather-belt,Accessories,,Bandhan,Unisex,A clean everyday belt with a classic metal buckle.,"A dependable faux-leather belt with an understated finish for denim, chinos, and formal trousers.",650,790,FALSE,TRUE,Demo|Accessories|Belt|Unisex,/demo-products/belt-front.svg,/demo-products/belt-detail.svg,DEMO-BLT-BLK-XL,Black,XL,690,6,3,180
